period,duration,depth,planet_radius,disposition,semi_major_axis,source,star_radius,teff,logg
9.76734503,1.6585,569.1,2.67,CONFIRMED,0.0881,Kepler,,,
119.0207044,8.1405,7430.5,8.98,CANDIDATE,0.4582,Kepler,,,
190.3200468,15.284,1141.7,7.78,CONFIRMED,0.6972,Kepler,,,
2.861159894,1.8832,1014.3,4.37,FALSE POSITIVE,0.0406,Kepler,,,
26.44439337,3.9783,1843.5,3.91,CONFIRMED,0.1687,Kepler,,,
51.53997972,6.3994,3644.3,5.51,CONFIRMED,0.2632,Kepler,,,
5.902245782,2.9003,702.3,2.43,CONFIRMED,0.0621,Kepler,,,
2.382951591,1.8876,391.6,1.86,CONFIRMED,0.0339,Kepler,,,
21.02250608,4.1072,1772.5,3.07,CONFIRMED,0.1378,Kepler,,,
3.219814777,2.0642,488.2,1.69,CONFIRMED,0.04,Kepler,,,
5.912273234,2.3254,961.4,1.73,CONFIRMED,0.0537,Kepler,,,
8.98581901,2.8606,881.3,1.65,CONFIRMED,0.0709,Kepler,,,
12.940668656,2.4845,42450.0,22.94,CANDIDATE,0.1039,Kepler,,,
20.5452375,2.517,218.5,2.41,FALSE POSITIVE,0.1437,Kepler,,,
33.60123371,4.4056,7425.9,8.46,CONFIRMED,0.1956,Kepler,,,
6.76652928,2.9004,450.7,1.97,CONFIRMED,0.0672,Kepler,,,
4.347288783,2.1024,451.6,2.36,CONFIRMED,0.0524,Kepler,,,
4.601811819,2.2607,755.9,2.35,CONFIRMED,0.0501,Kepler,,,
11.18719905,3.252,353.6,1.55,CONFIRMED,0.0907,Kepler,,,
4.220965778,3.0854,2260.0,2.62,CONFIRMED,0.0418,Kepler,,,
6.998099523,2.0488,20285.0,588.66,FALSE POSITIVE,0.0698,Kepler,,,
5.95489993,2.3892,1410.7,2.33,CONFIRMED,0.0554,Kepler,,,
12.03987488,2.7363,1250.6,2.18,CONFIRMED,0.0886,Kepler,,,
20.83762895,2.3734,439.0,1.42,CONFIRMED,0.1278,Kepler,,,
8.8111022,5.0683,401.1,63.66,FALSE POSITIVE,0.0919,Kepler,,,
23.58917143,5.073,1200.7,3.16,CONFIRMED,0.1429,Kepler,,,
6.481633073,3.784,298.5,2.54,CONFIRMED,0.0683,Kepler,,,
10.37168928,3.035,1254.9,3.2,CONFIRMED,0.0873,Kepler,,,
3.96996298,1.1757,299.2,1.78,CONFIRMED,0.046,Kepler,,,
4.40841331,5.012,549.4,2.66,CONFIRMED,0.052,Kepler,,,
7.9426176,6.703,1590.7,4.68,FALSE POSITIVE,0.0789,Kepler,,,
226.8904775,7.558,3136.4,4.53,CONFIRMED,0.6732,Kepler,,,
1.956811408,2.1958,24905.0,21.58,FALSE POSITIVE,0.0259,Kepler,,,
2.688899233,2.11275,37492.0,12.04,CANDIDATE,0.0335,Kepler,,,
9.439459486,2.8979,3036.1,4.16,CONFIRMED,0.0837,Kepler,,,
11.523067458,3.8757,507.3,3.13,CONFIRMED,0.1017,Kepler,,,
20.47748843,2.8364,1382.4,2.92,CONFIRMED,0.1402,Kepler,,,
3.336123113,1.9616,516.3,1.74,CONFIRMED,0.0418,Kepler,,,
8.01078456,2.312,1333.6,1.72,CONFIRMED,0.0616,Kepler,,,
12.07134205,4.3224,759.2,1.29,CONFIRMED,0.0809,Kepler,,,
20.99587872,2.6333,767.3,1.3,CONFIRMED,0.117,Kepler,,,
7.41113177,2.5242,620.5,2.45,CONFIRMED,0.0748,Kepler,,,
1.000747038,0.9967,1823.5,4.14,FALSE POSITIVE,0.0175,Kepler,,,
8.884922995,2.07004,16053.0,10.51,CONFIRMED,0.0786,Kepler,,,
8.09888906,4.20241,6911.1,8.95,CONFIRMED,0.0832,Kepler,,,
10.00653012,5.344,936.1,3.52,CONFIRMED,0.0933,Kepler,,,
17.855221681,7.41287,9065.2,13.16,CONFIRMED,0.1491,Kepler,,,
12.732624065,2.2083,6465.7,4.87,CANDIDATE,0.0881,Kepler,,,
83.92494032,6.7904,7958.7,4.78,CANDIDATE,0.3031,Kepler,,,
5.007316661,4.2362,6932.3,6.96,CONFIRMED,0.0556,Kepler,,,
