period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
2.10433534,1.1168,242.1,0.79,3426367.0,K02662.01,CONFIRMED,0.025,Kepler,,,,,,,
28.8431751,3.171,756.7,2.66,5562090.0,K02664.01,CONFIRMED,0.1679,Kepler,,,,,,,
1.378649746,1.2232,22462.0,6.51,11548140.0,K00256.01,FALSE POSITIVE,0.0188,Kepler,,,,,,,
1.112207126,1.35,54.7,0.73,12110786.0,K02665.01,FALSE POSITIVE,0.0214,Kepler,,,,,,,
64.034363,9.174,758.8,3.47,5342061.0,K02666.01,CANDIDATE,0.2926,Kepler,,,,,,,
1.303576682,1.021,245.5,1.51,3654095.0,K02667.01,FALSE POSITIVE,0.0237,Kepler,,,,,,,
1.958577398,2.388,453.0,1.8,5078939.0,K02438.01,FALSE POSITIVE,0.0296,Kepler,,,,,,,
5.19103699,4.222,290.1,1.92,6867555.0,K02439.01,CONFIRMED,0.0625,Kepler,,,,,,,
4.86638504,2.296,143.8,1.32,5339567.0,K02440.01,CONFIRMED,0.0557,Kepler,,,,,,,
4.79176993,4.52,116.6,0.81,4459924.0,K02441.01,FALSE POSITIVE,0.0498,Kepler,,,,,,,
25.1933989,4.62,481.2,1.95,11080405.0,K02442.01,CONFIRMED,0.156,Kepler,,,,,,,
0.759762021,4.912,227.0,24.2,5529738.0,K02518.01,FALSE POSITIVE,0.0171,Kepler,,,,,,,
4.790912471,0.5134,360.7,2.25,4047631.0,K02519.01,CANDIDATE,0.0486,Kepler,,,,,,,
6.49441464,2.344,357.3,1.75,10059645.0,K02520.01,CONFIRMED,0.0612,Kepler,,,,,,,
2.576571021,1.5997,852.8,1.57,5364071.0,K00248.03,CONFIRMED,0.03,Kepler,,,,,,,
28.4750006,4.718,763.8,2.64,7183745.0,K02521.01,CONFIRMED,0.1689,Kepler,,,,,,,
14.7966306,5.613,56.1,0.98,8212002.0,K02593.01,CONFIRMED,0.1268,Kepler,,,,,,,
11.25401871,4.759,433.4,2.42,8004903.0,K02594.01,CONFIRMED,0.0991,Kepler,,,,,,,
9.18244299,4.318,87.6,1.24,8883329.0,K02595.01,CONFIRMED,0.0886,Kepler,,,,,,,
14.6134781,5.266,72.8,1.12,8883329.0,K02595.02,CONFIRMED,0.1208,Kepler,,,,,,,
