period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
1.1578141,3.253,54.8,1.24,0.0204,Kepler,1.2536358705886643,4481.735494365854,4.447468431874469
4.66185924,3.164,49.3,1.16,0.0609,Kepler,0.7029800407806678,4405.57280635489,4.590120362651233
1.540379557,2.026,76.9,0.81,0.024,Kepler,0.7994718009438233,4540.9185567497,4.660771016867136
4.9234,2.016,232.8588337025507,1.18,0.038365007987678244,K2,0.776,4774.8167650186715,4.605801356112602
96.9151707,6.065,862.8,2.37,0.3878,Kepler,0.8281067755791058,4980.019713581556,4.711931611888328
3.40884,3.8613612128864254,28287.694601861793,15.177,0.0445,K2,1.123,6084.0,4.342
4.737713268,6.384,105260.0,29.25,0.0511,Kepler,0.6458870957446665,4102.565770343748,4.627606223591017
258.63797782,7.11,1039.9284030645995,31.743886908211458,0.8398330103267504,Kepler,1.3629092275524504,4099.824200776261,4.835360102697856
1.89132292,5.607,16.0,0.9,0.0376,Kepler,10.292555753050662,5442.1963978323565,4.560574509554669
23.2385587,8.432,161.2,2.18,0.1753,Kepler,0.9474886270370709,5755.22694546523,4.490810978790191
0.597018404,0.4778,245.4,1.09,0.0122,Kepler,0.7111753050204248,4283.993148075201,4.6031083706282185
12.4260002,30.1966,468.6,2.39,0.1015,Kepler,1.0085269164758122,5596.406526046753,4.382224789577413
6.423,4.88496,20542.400125489414,13.912030501344836,0.06824234025023784,K2,5.86835,5053.72,4.529148670826175
1.21374744,5.79293,185130.0,96.19,0.0244,Kepler,0.7776482075957748,4472.856303081283,4.637251653073982
1.97419,1.27,428.22455852003907,1.9,0.02908993547982761,K2,0.48,3660.0,5.00764844376084
0.635238,1.5288,147.6698051206447,9.266187245236793,0.014778643733658052,K2,0.919305,4743.31,4.39196
0.5366497,2.887,105.4,0.92,0.0129,Kepler,0.7639108296583562,5037.32842287437,4.674871309414445
1.38385822,1.0,224.04209239800528,1.629520461793539,0.022251572294523583,Kepler,0.8268598055259333,5148.113972029962,4.544307896699339
358.96844,21.71,807.8,2.7,0.9972,Kepler,1.740440785852289,4506.932314399864,4.494559263120768
2.984157711,1.2637,2598.0,0.92,0.0217,Kepler,1.3811656439670261,5496.1867259006485,4.289027761175983
196.436796,8.556,631.9,2.33,0.6446,Kepler,1.1165622852107804,4110.37110060847,4.820309203253022
1.65746034,4.572,22.9,0.54,0.0273,Kepler,1.0402167206304056,4727.131750155032,4.464906744910956
19.597317,4.508,1014.1,3.78,0.1366,Kepler,1.034024979997673,5503.193589112482,4.427321122989879
2.080431782,7.4997,894200.0,345.7,0.0387,Kepler,1.0611519840039256,5364.816380385672,4.4832882429353695
321.00742,13.01,307.1,3.7,0.8746,Kepler,1.292693687511254,3979.7931104429854,4.618123765073738
205.30627,7.86,671.0,2.48,0.6899,Kepler,0.9907435140796258,4103.307785440534,4.8137644100075025
25.70280003,3.1644,5623.8,33.1,0.1571,Kepler,1.013553325672065,4868.954110514463,4.4369424973253775
1.89134201,4.674,128.9,0.92,0.0289,Kepler,9.88691761364648,3570.905837132356,4.73153232608581
1.303570451,2.28163,332340.0,235.58,0.0225,Kepler,0.7724206719254948,4877.685122198388,4.579147732111462
22.2508509,1.745,618.7,2.07,0.1426,Kepler,0.6990763196993844,4890.891680752106,4.621798776672533
4.61228,1.9366421389817632,639.7049888796098,2.3,0.042,K2,0.459539,3624.15,5.151414558898283
2.98786272,2.5814,42789.0,17.82,0.0386,Kepler,1.525782645506966,5772.379769430845,4.188273110592862
9.940666412,3.9092,520.2,2.87,0.0953,Kepler,1.0529481689345128,5099.133675721914,4.36860204504677
24.64671,3.6,307.04999419327356,1.18,0.04256416812761225,K2,0.371,3992.635712268945,4.787547803237429
61.42252657,3.76585,337540.0,41.01,0.2663,Kepler,0.8719106991075813,5260.940281344463,4.718334657359633
5.132486123,1.4575,908.4,1.69,0.0497,Kepler,0.9068268610592674,5413.455553671486,4.46104210290667
13.115365,2.7,684.0699866170596,2.53,0.10554031613793814,K2,0.552,3748.0,4.695
85.3162004,2.7441,1902.6,6.34,0.3864,Kepler,0.6308064239877648,4416.847173024649,4.948702496563761
19.492132,3.5808,2216.267915444488,6.0,0.1449741652626844,K2,1.48,6084.545225265313,4.2166808764351185
19.729071,2.7,1017.3938945411486,2.239,0.12877728051490156,K2,0.712,4735.0,4.619
284.699924,3.709,371.1,2.0,0.8546,Kepler,0.5213685570507894,4479.843444810143,4.797265979378184
0.53835407,1.5045,190.2,1.67,0.0127,Kepler,0.8044093169105321,5037.528654116336,4.604288653587779
8.784575777,5.3022,262980.0,104.57,0.1022,Kepler,0.6886450591925305,4735.230344588002,4.223440825308396
6.66767,3.9383132294022536,307.21035400735224,1.43839723,0.06654235543264957,K2,1.189232,5753.0,4.23
313.82752,4.187,168.0,1.26,0.8983,Kepler,0.4982032329743743,4354.637244768775,4.82200622023173
5.23340265,3.242,242.1,1.15,0.0552,Kepler,0.8440077909684767,4526.662302527477,4.3155909603701925
6.36283414,3.752,159.4,1.12,0.0666,Kepler,1.6512220011723093,6338.482932172106,4.127624003536149
40.1015561,5.246,550.0,2.92,0.2307,Kepler,0.8148887668970815,5117.0768373635965,4.503823057047764
11.72291212,4.2064,492.2,2.08,0.0973,Kepler,1.257007061199513,5005.851822736734,4.345720203223301
8.953,0.81192,524.0622351568996,3.988866116553874,0.08007823596230287,K2,0.864025,4966.0,4.4783
0.545251,1.9608,75.46414196612702,5.230847468837094,0.013150756757085318,K2,1.23632,6074.26,4.31071
31.5925809,13.566,145.1,1.78,0.1967,Kepler,1.1749304574778519,5893.716749610574,4.497935695069006
2.785821236,3.5599,68.9,1.69,0.0408,Kepler,1.332879429916814,6180.38249977423,4.267307556178369
2.0481582,1.899,183.3,1.16,0.0311,Kepler,0.8898079246122319,5786.951251686331,4.526596241231102
7.8935324,3.444,47.6,0.78,0.0775,Kepler,0.9406022671260891,5460.958872991363,4.5009588334055355
10.555,1.30704,595.0569024613529,3.1258976356689443,0.10092423448206349,K2,0.722281,4067.08,4.52683
3.52364689,3.439,74.2,0.94,0.0469,Kepler,0.49753028467093785,3588.1655091040534,4.613683408904031
0.616444,0.696,313.23417372224105,6.315600305851899,0.013179366863718258,K2,0.750931,4937.26,4.59535
2.549562652,1.6999,495.1,1.11,0.0293,Kepler,1.072432156260354,5340.316475192045,4.374114016567069
